,predictions
386,-10.6633062582053
387,-11.823655606720038
388,-11.871280676192566
389,-12.43926595244942
390,-12.847782644738492
391,-13.194489740156584
392,-11.394747272097101
393,-11.394747272097101
394,-12.395185930596424
395,-12.395185930596424
396,-11.926445096982752
397,-10.091256502180231
398,-11.074235979288652
399,-11.361854923538546
400,-11.471485879089496
401,-11.13428561073163
402,-11.034348866594236
403,-11.471485879089496
404,-10.955498145345526
405,-12.128948185365395
406,-10.85741745741628
407,-12.128948185365395
408,-10.85741745741628
409,-11.24699244253103
410,-9.734718342811707
411,-12.444580281108157
412,-10.802354815380646
413,-4.307743241268403
414,-4.3647302480302885
415,-4.390871983186926
416,-11.078589276001892
417,-11.078589276001892
418,-13.256350856944577
419,-9.5912645265368
420,-10.56696431339074
421,-11.308356618945304
422,-11.158949234712995
423,-9.903529579154558
424,-12.16219486306417
425,-11.793881412088552
426,-11.429818276613986
427,-10.964091535102344
428,-12.147142842892585
429,-12.643776743232063
430,-12.643776743232063
431,-12.89866053107626
432,-5.846055673826868
433,-11.855676668556328
434,-11.730985729245829
435,-10.526980091034632
436,-12.129640200873695
437,-10.08996303080971
438,-11.286966948041073
439,-11.354570094832429
440,-11.509267971745874
441,-11.793881412088552
442,-10.946755873591734
443,-10.092016612215698
444,-10.946755873591734
445,-11.280273794179692
446,-11.031451759944385
447,-11.685823206761352
448,-11.89338634224806
449,-11.291648711836313
450,-11.264090490132794
451,-11.260961376107094
452,-11.264090490132794
453,-10.904506589282864
454,-4.760517765325604
455,-4.760517765325604
456,-11.925714814498717
457,-10.943458769774494
458,-12.16219486306417
459,-9.229048589257726
460,-11.087331547755689
461,-11.361509616181808
462,-11.674982936249563
463,-12.125308866047888
464,-10.533421597386166
465,-11.98787950371074
466,-11.623816368236174
467,-11.39422335661191
468,-11.29014920667829
469,-13.025913011225807
470,-11.085846207229412
471,-10.985909463092018
472,-11.762480952260546
473,-11.150206962959201
474,-11.150206962959201
475,-10.631513381037486
476,-12.00858204783422
477,-11.98787950371074
478,-11.987849912067784
479,-11.202442689854932
480,-11.979107640313991
481,-11.979107640313991
482,-12.16219486306417
483,-11.569557174924913
484,-10.069721080736329
485,10.661081744297295
486,-9.189064366901627
487,-11.610118161781518
488,-11.751905539765954
489,-10.493437375030059
490,-12.119712906120903
491,-10.78482080660059
492,-10.831780431590136
493,-10.128594341217617
494,-11.809227359456553
495,-11.227175534268191
496,-11.183580487140409
497,-11.446026429806883
498,-11.675508184783816
499,-11.618782893049259
500,-11.825363345560865
501,-11.452843737670243
502,-11.059711360959522
503,-12.512251241099472
504,-11.712912387544595
505,-11.712912387544595
506,-13.72485776035179
507,-13.824794504489185
508,-10.906372293464027
509,-4.44884719566226
510,-10.906372293464027
511,-11.771722448028793
512,-11.382147462914045
513,-11.382147462914045
514,-11.155460897157392
515,-11.186379969536928
516,-11.186379969536928
517,-11.78569138160486
518,-12.418116347745821
519,-12.210553212259114
520,-10.261106098570128
521,-12.50011159429838
522,-12.720220260514953
523,-11.031451759944387
524,-10.478573826057952
525,-11.266212189755896
526,-12.090730050565533
527,-12.190666794702926
528,-12.081701851011346
529,-12.594703877407467
530,-11.256143512020621
531,-10.115994532034563
532,-11.197766724406685
533,-11.869506276406003
534,-12.95743000447732
535,-6.040053765449057
536,-12.95743000447732
537,-11.097443059352589
538,-12.163553976480078
539,-12.163553976480078
540,-11.701157609376539
541,-11.48022815084329
542,-13.025913011225805
543,-12.042968823681658
544,-12.177132639023958
545,-11.566757177936744
546,-11.607922299074733
547,-12.175907575331587
548,-11.092594276234019
549,-11.356510437087898
550,-11.051710096532396
551,-12.931131363038752
552,-12.584424267620658
553,-10.810980798494345
554,-12.066851853146566
555,-12.265176792766287
556,-11.22920790793451
557,-10.995482367701626
558,-11.217814521189524
559,-12.066851853146566
560,-11.632751826625324
561,-12.057613657279578
562,-11.22920790793451
563,-11.217814521189524
564,-9.77892328918195
565,-13.557353720538458
566,-10.994454197320602
567,-10.9377727239423
568,-12.131014638026974
569,-11.44410146591645
570,-11.44410146591645
571,-11.26915140659079
572,-11.61206155325345
573,-12.771248534687938
574,-12.75823354235342
575,-11.603319281499658
576,-11.603319281499658
577,-9.726394181582442
578,-11.859387385980723
579,-11.859387385980723
580,-11.55055062944318
581,-12.137690457119188
582,-11.445619641033163
583,-4.769260037079397
584,-14.669348694869067
585,-14.669348694869067
586,-14.526156679972575
587,-12.665574581492294
588,-12.682688117094749
589,-12.539496102198262
590,-12.070328893892716
591,-13.090436412146548
592,-13.090436412146548
593,-12.947244397250063
594,-14.014791910361797
595,-12.232498276234537
596,-12.232498276234537
597,-13.382625117074163
598,-13.525817131970644
599,-11.988636197494827
600,-12.241240547988333
601,-11.536104762511215
602,-11.536104762511215
603,-12.974876822022358
604,-13.10095530131639
605,-11.599595728758755
606,-11.895155700998727
607,-9.92027075771076
608,-10.868359405009317
609,-10.99920776875124
610,-11.689723220600193
611,-11.345072154803198
612,-11.8748731792341
613,-12.413996581733223
614,-12.65097326784517
615,-12.607717997086077
616,-11.68763466778379
617,-11.801249606536665
618,-11.792221406982478
619,-12.533985313582399
620,-12.326048181328305
621,-12.226111437190914
622,-11.999564118544598
623,-11.999564118544598
624,-11.472602495958261
625,-13.069078548716377
626,-12.249872030501923
627,-12.249872030501923
628,-13.132733759066141
629,-13.51283233674167
630,-10.435789606713682
631,-9.836301895696923
632,-12.003014764869123
633,-11.471485879089496
634,-11.819841109881764
635,-11.463149498212976
636,-11.471485879089496
637,-13.194252372376567
638,-10.276268881506665
639,-12.099420391963601
640,-11.323954654183055
641,-10.95308440236806
642,-12.952231633975607
643,-11.377578578762597
644,-10.897401045600597
645,-11.617324281731783
646,-10.986740095947837
647,-10.986740095947837
648,-11.258339440165749
649,-12.443293462118953
650,-12.182634289117015
651,-11.666240664495769
652,-11.666240664495769
653,-12.318253149477284
654,-11.647293496287176
655,-11.926085790613516
656,-11.926085790613516
657,-11.825032141770592
658,-11.7250953976332
659,-12.83821177929548
660,-11.541695386518839
661,-11.647293496287176
662,-12.318253149477284
663,-11.73098572924583
664,-12.494001091226297
665,-9.560854817419854
666,-9.71379437239939
667,10.136351738799533
668,-11.360457991118343
669,-11.72452112659291
670,-11.544847034265011
671,-11.573194183655275
672,-11.095420326761941
673,-5.696735354306136
674,-11.40098480900095
675,-11.999476468006613
676,-12.135209771923405
677,-12.135209771923405
678,-11.327288595863752
679,-12.637291553741141
680,-11.25325928661828
681,-11.56932733152634
682,-11.186423688590242
683,-11.186423688590242
684,-11.67720184803058
685,-11.577265103893186
686,-11.67720184803058
687,-11.577265103893186
688,-12.026295305806626
689,-10.63196369644267
690,-10.850364276576183
691,-11.029138739024699
692,-11.526772955580643
693,-12.17135412601988
694,-11.72452112659291
695,-12.659540455388886
696,-12.301503173313051
697,-11.823655606720038
698,-9.963054977055029
699,-11.72249672990445
700,-11.72249672990445
701,-11.531467782434785
702,-13.346667272540586
703,-13.472745751834616
704,-11.600998358452742
705,-11.600998358452742
706,-11.20357088210836
707,-13.037365032010522
708,-12.442119344410942
709,-13.462226862664778
710,-13.462226862664778
711,-13.319034847768297
712,-11.922341079961406
713,-11.531467782434785
714,-12.297923548865915
715,-12.222591405114267
716,-11.17783029883342
717,-11.17783029883342
718,-11.85635452900307
719,-12.323429001166295
720,-11.25664258928021
721,-11.594982900623137
722,-11.376236690763303
723,-10.435789606713682
724,-12.122210640708065
725,-10.735727427852817
726,-12.64694064620583
727,-12.335469209808052
728,-11.012260145844028
729,-12.64694064620583
730,-11.580245422100884
731,-11.284504376519484
732,-11.766496998915505
733,-11.407595507175854
734,-11.160786662764096
735,-12.487103584343187
736,-11.146188383739997
737,-11.99977685551213
738,-11.882726575772285
739,-11.407595507175854
740,-14.560592774911527
741,-12.088667772367458
742,-11.945475757470975
743,-12.495501264935239
744,-12.975600960654457
745,-9.738939066825852
746,-11.255129339437838
747,-12.075280634940944
748,-12.451343718364448
749,-10.495200885965424
750,-12.825437508624725
751,-13.499606827520122
752,-13.62568530681415
753,-11.147665471145093
754,-11.707768270736771
755,-11.707768270736771
756,-11.76289422772059
757,-11.76289422772059
758,-12.330879503977446
759,-12.330879503977446
760,-13.086103291684609
761,-13.086103291684609
762,-11.906877468411807
763,-11.716510542490568
764,-12.59505889939048
765,-12.524206473504375
766,-11.906877468411807
767,-11.382147462914045
768,-11.382147462914045
769,-11.255129339437838
770,-11.868129657734517
771,-12.739396196266515
772,-13.256350856944577
773,-12.739396196266515
774,-12.173716439736971
775,-12.261586324413084
776,-12.56352529174718
777,-11.652432166536997
778,-11.715160113514242
779,-5.776695388331232
780,-11.624800221529496
781,-11.715160113514242
782,-12.56352529174718
783,-11.606147899288164
784,-11.666600587580447
785,-10.33364748802164
786,-12.168284490405977
787,-11.515386200710886
788,-11.515386200710886
789,-12.02686763079046
790,-12.484078105874804
791,-11.981045978955665
792,-12.584662930403905
793,-12.584662930403905
794,-11.618241515901696
795,-10.38139165039967
796,-10.654418950763272
797,-10.654418950763272
798,-10.38139165039967
799,-11.960495090537691
800,-11.186423688590242
801,-11.186423688590242
802,-11.416337778929648
803,-11.526772955580643
804,-11.988762114389953
805,-11.407595507175854
806,-11.855779186754598
807,-11.407595507175854
808,-11.793881412088552
809,-10.915750538021223
810,-3.7214022807301035
811,-11.944984634173505
812,-11.309135628946894
813,-12.371266918524846
814,-11.46438472675225
815,-10.03072948264721
816,-11.783069445663513
817,-5.27691138994684
818,-12.82265355436368
819,-11.119441742376253
820,-12.617018572186556
821,-12.645341809986636
822,-10.028220518465055
823,-9.903529579154558
824,-9.79631767334082
825,-10.48393875639987
826,-11.60954139728102
827,-12.16219486306417
828,-11.998708357483416
829,-11.421600507407977
830,-12.73635539995966
831,-11.250641172007667
832,-11.250641172007667
833,-11.530801769362496
834,-12.73635539995966
835,-11.854879206024554
836,-11.27576210476569
837,-11.27576210476569
838,-9.518070598075582
839,-10.631513381037486
840,-10.439187702210008
841,-11.98787950371074
842,-11.631797323880896
843,-12.448863033168667
844,-12.996603507195186
845,-12.448863033168667
846,-5.931667316977089
847,-5.931667316977089
848,-9.932645267938089
849,-9.518070598075582
850,-11.579322190685954
851,10.289291293779065
852,-14.491699094907256
853,-14.391762350769863
854,-12.554893809233592
855,-12.311394906491142
856,-11.224434192847873
857,-11.925714814498717
858,-4.760517765325604
859,-4.760517765325604
860,-12.336043149113184
861,-5.082913298324651
862,-13.132498847395166
863,-13.132498847395166
864,-13.404089673391812
865,-11.503133720569082
866,-11.31854632410996
867,-11.31854632410996
868,-10.263669072323612
869,-3.1662882995233037
870,-9.221875973945018
871,-9.278862980706904
872,-9.30500471586354
873,-12.855713116032435
874,-11.820816857255213
875,-13.025913011225805
876,-11.80497459749419
877,-11.453506733324087
878,-12.472363386889548
879,-10.302172729963981
880,-10.304518294034484
881,-11.515429919764198
882,-11.199791121095146
883,-11.515429919764198
884,-12.462991409733672
885,-11.114220201644757
886,-12.545506890255197
887,-11.630129890683982
888,-12.669713999384149
889,-4.665514386097602
890,-12.688873256857775
891,-12.119712906120903
892,-10.410375872226847
893,-10.334845427573262
894,-12.583475423364131
895,-11.491483560078683
896,-12.451216871882021
897,-11.767718847022293
898,-12.175467142074098
899,-11.491483560078683
900,-11.702560304331183
901,-11.702560304331183
902,-9.867256808868525
903,-11.919275911999183
904,-10.401633600473055
905,-10.401633600473055
906,-13.657794455140909
907,-11.674982936249563
908,-12.354300805694109
909,-11.965193118902182
910,-12.091271598196212
911,-12.74889190085578
912,MSE:1.639837191085391
913,r2_Score:-1.5534680645988623
